id,created_at,round,match,listType,voter_discord_id,winningSubmission,losingSubmission
95,2025-04-18 14:46:48.929692+00,0,0,best,capy_degen,45,123
96,2025-04-18 14:47:01.195495+00,0,1,best,capy_degen,94,118
97,2025-04-18 14:47:01.215508+00,0,0,best,bigboy_gabe,45,123
98,2025-04-18 14:47:03.94708+00,0,0,best,cukr0,94,123
99,2025-04-18 14:47:16.289527+00,0,2,best,capy_degen,86,111
100,2025-04-18 14:47:18.295502+00,0,1,best,cukr0,118,86
101,2025-04-18 14:47:23.797957+00,0,1,best,bigboy_gabe,118,94
102,2025-04-18 14:47:25.203604+00,0,2,best,cukr0,101,111
103,2025-04-18 14:47:30.605924+00,0,0,best,dajos,123,45
104,2025-04-18 14:47:38.389298+00,0,3,best,capy_degen,91,101
105,2025-04-18 14:47:39.406791+00,0,1,best,dajos,94,118
106,2025-04-18 14:47:39.502413+00,0,3,best,cukr0,115,91
107,2025-04-18 14:47:45.972719+00,0,2,best,bigboy_gabe,111,86
108,2025-04-18 14:47:51.473033+00,0,0,best,zeemik,45,123
109,2025-04-18 14:47:51.946468+00,0,4,best,capy_degen,115,121
110,2025-04-18 14:47:52.328052+00,0,4,best,cukr0,72,121
111,2025-04-18 14:47:53.658062+00,0,2,best,dajos,86,111
112,2025-04-18 14:47:59.456816+00,0,3,best,bigboy_gabe,115,91
113,2025-04-18 14:47:59.512153+00,1,0,best,capy_degen,94,45
114,2025-04-18 14:48:03.423628+00,0,3,best,dajos,91,101
115,2025-04-18 14:48:05.299906+00,1,0,best,cukr0,118,94
116,2025-04-18 14:48:07.449984+00,1,1,best,capy_degen,91,86
117,2025-04-18 14:48:10.271974+00,0,1,best,zeemik,94,118
118,2025-04-18 14:48:13.546189+00,0,4,best,bigboy_gabe,121,72
119,2025-04-18 14:48:13.746263+00,0,4,best,dajos,115,121
120,2025-04-18 14:48:15.965757+00,1,1,best,cukr0,115,101
121,2025-04-18 14:48:21.620913+00,0,5,best,dajos,72,109
122,2025-04-18 14:48:25.454539+00,1,0,best,bigboy_gabe,45,118
123,2025-04-18 14:48:29.044021+00,1,0,best,dajos,123,94
124,2025-04-18 14:48:33.871367+00,1,2,best,capy_degen,115,109
125,2025-04-18 14:48:33.994802+00,1,2,best,cukr0,72,109
126,2025-04-18 14:48:34.261742+00,1,1,best,bigboy_gabe,111,115
127,2025-04-18 14:48:34.263137+00,1,1,best,dajos,91,86
128,2025-04-18 14:48:39.08297+00,1,2,best,dajos,72,115
129,2025-04-18 14:48:39.990957+00,0,2,best,zeemik,86,111
130,2025-04-18 14:48:42.202137+00,1,2,best,bigboy_gabe,109,121
131,2025-04-18 14:48:47.580593+00,1,3,best,dajos,114,107
132,2025-04-18 14:48:47.736291+00,1,3,best,capy_degen,107,114
133,2025-04-18 14:48:49.762054+00,1,3,best,cukr0,107,114
134,2025-04-18 14:48:51.223885+00,1,4,best,dajos,61,65
135,2025-04-18 14:48:52.486556+00,1,3,best,bigboy_gabe,107,114
136,2025-04-18 14:48:53.726049+00,1,5,best,dajos,68,52
137,2025-04-18 14:48:54.703438+00,0,3,best,zeemik,91,101
138,2025-04-18 14:48:55.99199+00,1,6,best,dajos,47,105
139,2025-04-18 14:48:58.111119+00,1,7,best,dajos,98,120
140,2025-04-18 14:49:00.362339+00,2,0,best,dajos,91,123
141,2025-04-18 14:49:02.603975+00,2,1,best,dajos,72,114
142,2025-04-18 14:49:04.779154+00,2,2,best,dajos,68,61
143,2025-04-18 14:49:06.787697+00,0,4,best,zeemik,115,121
144,2025-04-18 14:49:06.857363+00,1,4,best,capy_degen,61,65
145,2025-04-18 14:49:06.871164+00,2,3,best,dajos,47,98
146,2025-04-18 14:49:08.559378+00,1,4,best,cukr0,61,65
147,2025-04-18 14:49:09.151373+00,3,0,best,dajos,72,91
148,2025-04-18 14:49:11.244579+00,3,1,best,dajos,68,47
149,2025-04-18 14:49:11.608078+00,1,4,best,bigboy_gabe,61,65
150,2025-04-18 14:49:13.483416+00,4,0,best,dajos,68,72
151,2025-04-18 14:49:15.140553+00,1,5,best,capy_degen,68,52
152,2025-04-18 14:49:15.482915+00,1,0,best,zeemik,94,45
153,2025-04-18 14:49:19.386399+00,0,0,worst,dajos,46,108
154,2025-04-18 14:49:20.900923+00,1,5,best,cukr0,68,52
155,2025-04-18 14:49:26.029109+00,0,1,worst,dajos,79,99
156,2025-04-18 14:49:26.628255+00,1,5,best,bigboy_gabe,68,52
157,2025-04-18 14:49:28.047088+00,1,1,best,zeemik,91,86
158,2025-04-18 14:49:28.509607+00,0,2,worst,dajos,126,104
159,2025-04-18 14:49:30.545905+00,1,6,best,capy_degen,47,105
160,2025-04-18 14:49:31.100994+00,0,3,worst,dajos,53,51
161,2025-04-18 14:49:33.744904+00,0,4,worst,dajos,89,93
162,2025-04-18 14:49:34.033095+00,1,6,best,cukr0,105,47
163,2025-04-18 14:49:36.507921+00,0,5,worst,dajos,96,117
164,2025-04-18 14:49:37.429906+00,1,2,best,zeemik,72,115
165,2025-04-18 14:49:39.033239+00,1,0,worst,dajos,46,79
166,2025-04-18 14:49:41.683821+00,1,1,worst,dajos,53,126
167,2025-04-18 14:49:44.153536+00,1,2,worst,dajos,89,96
168,2025-04-18 14:49:46.469354+00,1,3,worst,dajos,113,122
169,2025-04-18 14:49:48.728288+00,1,4,worst,dajos,87,62
170,2025-04-18 14:49:50.322489+00,1,3,best,zeemik,107,109
171,2025-04-18 14:49:50.913777+00,1,5,worst,dajos,70,124
172,2025-04-18 14:49:52.835307+00,1,7,best,cukr0,120,98
173,2025-04-18 14:49:53.090126+00,1,6,worst,dajos,110,119
174,2025-04-18 14:49:55.195742+00,1,7,worst,dajos,112,116
175,2025-04-18 14:49:57.330571+00,2,0,worst,dajos,53,46
176,2025-04-18 14:49:59.48954+00,2,1,worst,dajos,89,113
177,2025-04-18 14:50:00.543676+00,1,7,best,capy_degen,120,98
178,2025-04-18 14:50:01.313739+00,1,6,best,bigboy_gabe,47,105
179,2025-04-18 14:50:01.638251+00,2,2,worst,dajos,70,87
180,2025-04-18 14:50:02.935304+00,2,0,best,cukr0,118,115
181,2025-04-18 14:50:03.893516+00,2,3,worst,dajos,110,112
182,2025-04-18 14:50:06.053924+00,3,0,worst,dajos,89,53
183,2025-04-18 14:50:08.413052+00,3,1,worst,dajos,110,70
184,2025-04-18 14:50:10.737673+00,4,0,worst,dajos,89,110
185,2025-04-18 14:50:11.616236+00,1,7,best,bigboy_gabe,120,98
186,2025-04-18 14:50:11.890923+00,2,1,best,cukr0,107,72
187,2025-04-18 14:50:12.03292+00,2,0,best,capy_degen,91,94
188,2025-04-18 14:50:16.433406+00,1,4,best,zeemik,114,61
189,2025-04-18 14:50:17.865945+00,2,0,best,bigboy_gabe,111,45
190,2025-04-18 14:50:18.895882+00,2,1,best,capy_degen,115,107
191,2025-04-18 14:50:24.218087+00,2,2,best,capy_degen,68,61
192,2025-04-18 14:50:25.98652+00,2,1,best,bigboy_gabe,109,107
193,2025-04-18 14:50:26.695925+00,1,5,best,zeemik,52,65
194,2025-04-18 14:50:36.975077+00,2,3,best,capy_degen,120,47
195,2025-04-18 14:50:37.86447+00,2,2,best,bigboy_gabe,68,61
196,2025-04-18 14:50:40.418598+00,1,6,best,zeemik,105,47
197,2025-04-18 14:50:42.166241+00,2,2,best,cukr0,68,61
198,2025-04-18 14:50:47.071129+00,3,0,best,capy_degen,115,91
199,2025-04-18 14:50:47.319533+00,2,3,best,bigboy_gabe,120,47
200,2025-04-18 14:50:48.841439+00,2,3,best,cukr0,105,120
201,2025-04-18 14:50:53.65921+00,3,1,best,capy_degen,68,120
202,2025-04-18 14:50:59.477519+00,1,7,best,zeemik,120,98
203,2025-04-18 14:51:00.776883+00,3,0,best,bigboy_gabe,111,109
204,2025-04-18 14:51:01.645773+00,4,0,best,capy_degen,115,68
205,2025-04-18 14:51:02.728021+00,3,0,best,cukr0,107,118
206,2025-04-18 14:51:09.380681+00,2,0,best,zeemik,94,91
207,2025-04-18 14:51:10.376639+00,3,1,best,bigboy_gabe,68,120
208,2025-04-18 14:51:11.008019+00,3,1,best,cukr0,68,105
209,2025-04-18 14:51:14.44948+00,0,0,worst,capy_degen,46,108
210,2025-04-18 14:51:19.38562+00,2,1,best,zeemik,72,107
211,2025-04-18 14:51:22.706883+00,0,1,worst,capy_degen,127,99
212,2025-04-18 14:51:23.968487+00,4,0,best,cukr0,107,68
213,2025-04-18 14:51:28.879976+00,0,2,worst,capy_degen,104,126
214,2025-04-18 14:51:29.004279+00,2,2,best,zeemik,52,114
215,2025-04-18 14:51:33.55231+00,4,0,best,bigboy_gabe,68,111
216,2025-04-18 14:51:35.336393+00,0,3,worst,capy_degen,53,51
217,2025-04-18 14:51:38.7298+00,0,0,worst,cukr0,108,46
218,2025-04-18 14:51:41.491457+00,2,3,best,zeemik,105,120
219,2025-04-18 14:51:44.68372+00,0,4,worst,capy_degen,89,93
221,2025-04-18 14:51:51.873251+00,0,5,worst,capy_degen,96,117
222,2025-04-18 14:51:51.95632+00,0,0,worst,bigboy_gabe,46,108
223,2025-04-18 14:51:52.415852+00,0,1,worst,cukr0,99,79
224,2025-04-18 14:51:58.287908+00,3,0,best,zeemik,72,94
225,2025-04-18 14:52:00.652856+00,1,0,worst,capy_degen,46,127
226,2025-04-18 14:52:01.93986+00,0,2,worst,cukr0,104,127
228,2025-04-18 14:52:03.223966+00,0,1,worst,bigboy_gabe,79,99
229,2025-04-18 14:52:04.361531+00,3,1,best,zeemik,52,105
230,2025-04-18 14:52:06.357216+00,1,1,worst,capy_degen,53,104
231,2025-04-18 14:52:07.788992+00,4,0,best,zeemik,72,52
232,2025-04-18 14:52:12.239916+00,1,2,worst,capy_degen,96,89
233,2025-04-18 14:52:12.553644+00,0,3,worst,cukr0,53,126
234,2025-04-18 14:52:18.11099+00,0,2,worst,bigboy_gabe,127,104
235,2025-04-18 14:52:21.545935+00,0,4,worst,cukr0,93,89
236,2025-04-18 14:52:26.124107+00,1,3,worst,capy_degen,113,122
237,2025-04-18 14:52:35.591332+00,0,3,worst,bigboy_gabe,51,126
238,2025-04-18 14:52:45.909772+00,0,4,worst,bigboy_gabe,53,89
241,2025-04-18 14:53:06.936769+00,0,0,worst,zeemik,46,108
242,2025-04-18 14:53:10.791273+00,0,5,worst,cukr0,96,117
243,2025-04-18 14:53:10.952614+00,0,5,worst,bigboy_gabe,93,96
245,2025-04-18 14:53:19.217043+00,1,4,worst,capy_degen,87,62
246,2025-04-18 14:53:19.664419+00,1,0,worst,cukr0,108,99
247,2025-04-18 14:53:21.794403+00,1,0,worst,bigboy_gabe,79,46
249,2025-04-18 14:53:27.817087+00,1,5,worst,capy_degen,124,70
250,2025-04-18 14:53:27.920319+00,1,1,worst,cukr0,104,53
251,2025-04-18 14:53:27.987665+00,0,1,worst,zeemik,79,99
252,2025-04-18 14:53:28.297589+00,1,1,worst,bigboy_gabe,51,127
254,2025-04-18 14:53:34.857581+00,1,6,worst,capy_degen,119,110
255,2025-04-18 14:53:35.889045+00,1,2,worst,bigboy_gabe,53,93
256,2025-04-18 14:53:39.116803+00,1,7,worst,capy_degen,116,112
257,2025-04-18 14:53:39.336709+00,1,2,worst,cukr0,93,96
258,2025-04-18 14:53:42.302131+00,1,3,worst,bigboy_gabe,113,117
260,2025-04-18 14:53:43.791687+00,2,0,worst,capy_degen,46,53
261,2025-04-18 14:53:50.229985+00,2,1,worst,capy_degen,113,96
262,2025-04-18 14:53:50.845764+00,0,2,worst,zeemik,127,104
263,2025-04-18 14:53:54.32879+00,2,2,worst,capy_degen,87,124
264,2025-04-18 14:53:55.03193+00,1,3,worst,cukr0,122,113
265,2025-04-18 14:53:57.975366+00,0,3,worst,zeemik,53,51
266,2025-04-18 14:53:59.323177+00,1,4,worst,bigboy_gabe,122,62
268,2025-04-18 14:54:01.775386+00,2,3,worst,capy_degen,116,119
269,2025-04-18 14:54:05.60564+00,0,4,worst,zeemik,89,93
270,2025-04-18 14:54:06.377541+00,3,0,worst,capy_degen,113,46
271,2025-04-18 14:54:06.598883+00,1,4,worst,cukr0,62,87
273,2025-04-18 14:54:09.598301+00,1,5,worst,bigboy_gabe,87,124
274,2025-04-18 14:54:10.040385+00,0,5,worst,zeemik,117,96
275,2025-04-18 14:54:18.141702+00,3,1,worst,capy_degen,116,87
276,2025-04-18 14:54:22.216182+00,1,6,worst,bigboy_gabe,119,110
277,2025-04-18 14:54:24.213799+00,1,5,worst,cukr0,70,124
278,2025-04-18 14:54:24.309554+00,1,0,worst,zeemik,79,46
279,2025-04-18 14:54:25.378581+00,4,0,worst,capy_degen,116,113
280,2025-04-18 14:54:30.86565+00,1,1,worst,zeemik,53,127
281,2025-04-18 14:54:32.80072+00,1,6,worst,cukr0,119,110
282,2025-04-18 14:54:33.56774+00,1,7,worst,bigboy_gabe,116,112
283,2025-04-18 14:54:39.07254+00,1,2,worst,zeemik,117,89
284,2025-04-18 14:54:43.305736+00,1,7,worst,cukr0,116,112
285,2025-04-18 14:54:44.714783+00,1,3,worst,zeemik,113,122
286,2025-04-18 14:54:44.911387+00,2,0,worst,bigboy_gabe,79,51
287,2025-04-18 14:54:52.726312+00,1,4,worst,zeemik,87,62
289,2025-04-18 14:54:56.841211+00,2,0,worst,cukr0,104,108
290,2025-04-18 14:54:57.643273+00,2,1,worst,bigboy_gabe,113,53
291,2025-04-18 14:55:01.787682+00,1,5,worst,zeemik,70,124
292,2025-04-18 14:55:04.889071+00,2,2,worst,bigboy_gabe,87,122
293,2025-04-18 14:55:08.125103+00,2,1,worst,cukr0,93,122
294,2025-04-18 14:55:09.925454+00,2,3,worst,bigboy_gabe,116,119
295,2025-04-18 14:55:15.466738+00,1,6,worst,zeemik,119,110
297,2025-04-18 14:55:18.815173+00,3,0,worst,bigboy_gabe,79,113
298,2025-04-18 14:55:19.252463+00,2,2,worst,cukr0,70,62
299,2025-04-18 14:55:26.11118+00,1,7,worst,zeemik,112,116
300,2025-04-18 14:55:27.278055+00,3,1,worst,bigboy_gabe,116,87
301,2025-04-18 14:55:27.522013+00,0,0,best,kooubek,123,45
302,2025-04-18 14:55:28.600357+00,2,3,worst,cukr0,119,116
304,2025-04-18 14:55:36.344498+00,3,0,worst,cukr0,104,93
305,2025-04-18 14:55:40.189721+00,4,0,worst,bigboy_gabe,79,116
306,2025-04-18 14:55:40.590213+00,0,1,best,kooubek,118,94
307,2025-04-18 14:55:45.228568+00,3,1,worst,cukr0,119,70
308,2025-04-18 14:55:50.586366+00,4,0,worst,cukr0,104,119
309,2025-04-18 14:55:51.631788+00,2,0,worst,zeemik,79,53
310,2025-04-18 14:55:54.789053+00,0,2,best,kooubek,86,111
311,2025-04-18 14:55:56.856465+00,2,1,worst,zeemik,113,117
313,2025-04-18 14:56:05.292121+00,2,2,worst,zeemik,70,87
314,2025-04-18 14:56:06.299474+00,0,3,best,kooubek,91,101
315,2025-04-18 14:56:10.754914+00,2,3,worst,zeemik,112,119
317,2025-04-18 14:56:15.518773+00,0,4,best,kooubek,115,121
318,2025-04-18 14:56:20.300658+00,3,0,worst,zeemik,113,79
319,2025-04-18 14:56:23.395614+00,1,0,best,kooubek,123,118
321,2025-04-18 14:56:30.565734+00,3,1,worst,zeemik,112,70
322,2025-04-18 14:56:34.694335+00,1,1,best,kooubek,86,91
324,2025-04-18 14:56:46.267247+00,1,2,best,kooubek,72,115
326,2025-04-18 14:56:54.259633+00,4,0,worst,zeemik,113,112
327,2025-04-18 14:57:03.113078+00,1,3,best,kooubek,107,109
328,2025-04-18 14:57:10.320565+00,1,4,best,kooubek,114,61
330,2025-04-18 14:57:17.948523+00,1,5,best,kooubek,68,65
331,2025-04-18 14:57:24.619745+00,1,6,best,kooubek,52,47
333,2025-04-18 14:57:39.214202+00,1,7,best,kooubek,120,98
335,2025-04-18 14:57:47.596642+00,2,0,best,kooubek,123,86
336,2025-04-18 14:57:56.131346+00,2,1,best,kooubek,72,107
337,2025-04-18 14:58:04.533413+00,2,2,best,kooubek,68,114
338,2025-04-18 14:58:22.698777+00,2,3,best,kooubek,52,120
360,2025-04-18 15:09:42.716197+00,3,0,best,kooubek,123,72
361,2025-04-18 15:09:49.868885+00,3,1,best,kooubek,68,52
362,2025-04-18 15:09:58.801401+00,4,0,best,kooubek,68,123
363,2025-04-18 15:11:15.24369+00,0,0,worst,kooubek,108,46
364,2025-04-18 15:11:34.961515+00,0,1,worst,kooubek,99,79
365,2025-04-18 15:12:47.37925+00,0,2,worst,kooubek,126,127
366,2025-04-18 15:12:55.894884+00,0,3,worst,kooubek,53,51
367,2025-04-18 15:12:57.520604+00,0,0,best,psajcho,123,45
368,2025-04-18 15:13:05.042446+00,0,4,worst,kooubek,89,93
369,2025-04-18 15:13:11.346676+00,0,5,worst,kooubek,96,117
370,2025-04-18 15:13:16.328904+00,0,1,best,psajcho,118,94
371,2025-04-18 15:13:17.874797+00,1,0,worst,kooubek,108,99
372,2025-04-18 15:13:28.298758+00,0,2,best,psajcho,101,111
373,2025-04-18 15:13:28.772433+00,1,1,worst,kooubek,126,53
374,2025-04-18 15:13:39.020985+00,1,2,worst,kooubek,96,89
375,2025-04-18 15:13:46.199816+00,0,3,best,psajcho,91,115
376,2025-04-18 15:13:50.174748+00,1,3,worst,kooubek,122,113
377,2025-04-18 15:13:54.980333+00,0,0,best,seean8156,45,94
378,2025-04-18 15:13:56.858048+00,0,0,best,3y3scr3am,45,123
379,2025-04-18 15:14:00.319904+00,0,0,worst,psajcho,46,108
380,2025-04-18 15:14:01.877061+00,1,4,worst,kooubek,62,87
381,2025-04-18 15:14:05.350292+00,0,0,best,ninah8637,123,45
382,2025-04-18 15:14:09.616974+00,1,5,worst,kooubek,70,124
383,2025-04-18 15:14:11.299163+00,0,1,best,seean8156,118,86
384,2025-04-18 15:14:12.684371+00,0,4,best,psajcho,121,72
385,2025-04-18 15:14:15.723567+00,1,6,worst,kooubek,110,119
386,2025-04-18 15:14:21.955839+00,1,7,worst,kooubek,116,112
387,2025-04-18 15:14:28.311089+00,2,0,worst,kooubek,108,126
388,2025-04-18 15:14:34.848347+00,0,1,best,ninah8637,94,118
389,2025-04-18 15:14:35.396153+00,2,1,worst,kooubek,96,122
390,2025-04-18 15:14:36.811859+00,0,2,best,seean8156,101,111
391,2025-04-18 15:14:38.611087+00,0,0,best,sinkvili,45,123
392,2025-04-18 15:14:39.946359+00,2,2,worst,kooubek,70,62
393,2025-04-18 15:14:47.460097+00,2,3,worst,kooubek,110,116
394,2025-04-18 15:14:51.401825+00,0,3,best,seean8156,115,91
395,2025-04-18 15:14:51.894539+00,3,0,worst,kooubek,96,108
396,2025-04-18 15:14:54.655234+00,0,1,best,sinkvili,118,94
397,2025-04-18 15:14:55.850716+00,3,1,worst,kooubek,110,70
398,2025-04-18 15:14:59.852874+00,0,2,best,ninah8637,86,111
399,2025-04-18 15:15:00.172727+00,4,0,worst,kooubek,96,110
400,2025-04-18 15:15:04.982842+00,0,4,best,seean8156,72,121
401,2025-04-18 15:15:13.255171+00,1,0,best,psajcho,123,118
402,2025-04-18 15:15:14.419371+00,0,3,best,ninah8637,101,91
403,2025-04-18 15:15:25.833893+00,1,0,best,seean8156,45,118
404,2025-04-18 15:15:27.623015+00,0,1,worst,psajcho,79,99
405,2025-04-18 15:15:36.991815+00,1,1,best,seean8156,115,101
406,2025-04-18 15:15:37.776982+00,0,2,worst,psajcho,104,127
407,2025-04-18 15:15:44.113209+00,0,2,best,sinkvili,86,111
408,2025-04-18 15:15:46.15073+00,0,1,best,3y3scr3am,94,118
409,2025-04-18 15:15:47.064831+00,1,2,best,seean8156,72,109
410,2025-04-18 15:15:48.430386+00,0,3,worst,psajcho,51,126
411,2025-04-18 15:15:52.56055+00,0,4,worst,psajcho,89,53
412,2025-04-18 15:15:59.222562+00,0,5,worst,psajcho,93,96
413,2025-04-18 15:16:07.249484+00,1,0,worst,psajcho,46,79
414,2025-04-18 15:16:09.021367+00,0,4,best,ninah8637,121,115
415,2025-04-18 15:16:10.711725+00,1,3,best,seean8156,107,114
